epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8444,2.13223,4.16234,2.24801,0.00293,0.69917,0.14108,0.03624,2.32767,3.8182,3.26118,0.000406977,0.000406977,0.000406977
2,55.608,1.96101,3.31664,2.06633,0.49174,0.39894,0.25232,0.07807,2.15738,3.55614,2.83898,0.000807335,0.000807335,0.000807335
3,68.7139,1.97332,3.09434,2.02983,0.08757,0.27108,0.06428,0.01724,2.72,4.3004,3.14959,0.00119119,0.00119119,0.00119119
4,81.4508,2.00017,2.93914,2.076,0.16544,0.26385,0.12487,0.03821,2.28976,4.1007,2.78849,0.00117575,0.00117575,0.00117575
5,94.6046,1.95057,2.78715,2.03778,0.24533,0.46348,0.25816,0.08626,2.35663,3.61764,2.83123,0.001151,0.001151,0.001151
6,107.356,1.94188,2.62891,2.02772,0.39573,0.56236,0.44152,0.15711,2.11114,2.7119,2.3314,0.00112625,0.00112625,0.00112625
7,119.467,1.90815,2.42703,2.00106,0.25095,0.58058,0.35942,0.11451,2.16529,3.57756,2.4638,0.0011015,0.0011015,0.0011015
8,132.082,1.9032,2.3567,1.99614,0.39986,0.54109,0.37681,0.12061,2.1843,2.46776,2.50034,0.00107675,0.00107675,0.00107675
9,145.237,1.88883,2.23323,2.01942,0.51794,0.66327,0.56599,0.19367,2.1316,1.99884,2.40784,0.001052,0.001052,0.001052
10,158.244,1.85644,2.0797,1.9691,0.42868,0.59504,0.49132,0.1567,2.23331,2.13537,2.46116,0.00102725,0.00102725,0.00102725
11,171.577,1.81482,1.98149,1.8938,0.54116,0.63469,0.55417,0.18459,2.07602,1.70294,2.222,0.0010025,0.0010025,0.0010025
12,184.25,1.81357,2.02859,1.9111,0.57714,0.71306,0.73278,0.26963,1.99681,1.54761,2.15352,0.00097775,0.00097775,0.00097775
13,197.6,1.77135,1.92998,1.91513,0.6664,0.5713,0.69078,0.26134,1.93479,1.93199,2.1886,0.000953,0.000953,0.000953
14,210.939,1.77246,1.89771,1.87392,0.63904,0.69424,0.66201,0.27204,1.94375,1.59547,2.10589,0.00092825,0.00092825,0.00092825
15,224.195,1.78307,1.87823,1.87851,0.60296,0.73013,0.71268,0.28408,1.97479,1.57298,2.1478,0.0009035,0.0009035,0.0009035
16,237.158,1.76573,1.78538,1.8444,0.6676,0.71591,0.73964,0.2996,2.01275,1.45848,2.13969,0.00087875,0.00087875,0.00087875
17,250.027,1.78502,1.74526,1.86102,0.70487,0.71065,0.73824,0.2805,1.95335,1.48264,2.13016,0.000854,0.000854,0.000854
18,264.387,1.72346,1.74742,1.83464,0.65432,0.71895,0.72396,0.28602,1.96626,1.43079,2.12196,0.00082925,0.00082925,0.00082925
19,276.951,1.72732,1.71514,1.83671,0.59022,0.72219,0.71258,0.28936,1.93992,1.45478,2.08452,0.0008045,0.0008045,0.0008045
20,290.439,1.71107,1.68424,1.78053,0.64608,0.75807,0.73957,0.30535,1.98256,1.39611,2.07371,0.00077975,0.00077975,0.00077975
21,303.49,1.69017,1.60864,1.77859,0.65922,0.73035,0.71865,0.30154,1.9677,1.34131,2.07581,0.000755,0.000755,0.000755
22,315.967,1.68831,1.61265,1.78751,0.68714,0.71417,0.75928,0.30498,1.94549,1.35091,2.07058,0.00073025,0.00073025,0.00073025
23,328.391,1.68855,1.63004,1.79455,0.71608,0.73764,0.7483,0.31317,1.93948,1.34771,2.07743,0.0007055,0.0007055,0.0007055
24,341.209,1.67791,1.6087,1.79421,0.71763,0.76079,0.78593,0.29601,1.97273,1.31788,2.0851,0.00068075,0.00068075,0.00068075
25,353.578,1.65145,1.54224,1.73917,0.76841,0.74136,0.82826,0.32576,1.93631,1.26992,2.03082,0.000656,0.000656,0.000656
26,366.628,1.64756,1.51885,1.7208,0.73051,0.79534,0.80765,0.34686,1.90302,1.26277,2.06598,0.00063125,0.00063125,0.00063125
27,379.67,1.63498,1.48996,1.7481,0.72614,0.77199,0.78689,0.34,1.90884,1.27469,2.0356,0.0006065,0.0006065,0.0006065
28,392.028,1.65835,1.51463,1.77988,0.67419,0.7761,0.78288,0.33492,1.90899,1.29757,2.067,0.00058175,0.00058175,0.00058175
29,405.01,1.6424,1.48899,1.76874,0.74014,0.78995,0.8279,0.35456,1.88592,1.21414,2.00665,0.000557,0.000557,0.000557
30,417.71,1.63194,1.49453,1.75071,0.75151,0.79607,0.8122,0.33852,1.88205,1.26671,2.03737,0.00053225,0.00053225,0.00053225
31,430.972,1.61199,1.44521,1.74435,0.7732,0.82372,0.83784,0.34973,1.89149,1.20141,2.05046,0.0005075,0.0005075,0.0005075
32,443.719,1.61516,1.43063,1.74663,0.73512,0.8064,0.8123,0.3254,1.92786,1.22703,2.04811,0.00048275,0.00048275,0.00048275
33,456.751,1.55378,1.37934,1.69818,0.71833,0.84695,0.80993,0.34808,1.92692,1.17829,2.04412,0.000458,0.000458,0.000458
